time,equity,funding_pct,coll_pct,note,book
2026-06-15 21:51 UTC,998.5,0.0,0.0,init,NEAR@hyperliquid; LINK@hyperliquid; LTC@hyperliquid; ETH@hyperliquid; BTC@hyperliquid; BNB@hyperliquid
2026-06-16 06:34 UTC,998.61,0.0062,0.0045,accrued 0.36d,NEAR@hyperliquid; LINK@hyperliquid; LTC@hyperliquid; ETH@hyperliquid; BTC@hyperliquid; BNB@hyperliquid
2026-06-17 06:00 UTC,998.96,0.0236,0.012,accrued 0.98d,NEAR@hyperliquid; LINK@hyperliquid; LTC@hyperliquid; ETH@hyperliquid; BTC@hyperliquid; BNB@hyperliquid
2026-06-18 06:00 UTC,999.32,0.0238,0.0123,accrued 1.00d,NEAR@hyperliquid; LINK@hyperliquid; LTC@hyperliquid; ETH@hyperliquid; BTC@hyperliquid; BNB@hyperliquid
2026-06-19 06:00 UTC,999.64,0.019,0.0123,accrued 1.00d,NEAR@hyperliquid; LINK@hyperliquid; LTC@hyperliquid; ETH@hyperliquid; BTC@hyperliquid; BNB@hyperliquid
2026-06-20 06:00 UTC,1000.02,0.0261,0.0123,accrued 1.00d,NEAR@hyperliquid; LINK@hyperliquid; LTC@hyperliquid; ETH@hyperliquid; BTC@hyperliquid; BNB@hyperliquid
2026-06-21 06:00 UTC,1000.42,0.0279,0.0123,accrued 1.00d,NEAR@hyperliquid; LINK@hyperliquid; LTC@hyperliquid; ETH@hyperliquid; BTC@hyperliquid; BNB@hyperliquid
2026-06-22 06:00 UTC,1000.73,0.0184,0.0123,accrued 1.00d,NEAR@hyperliquid; LINK@hyperliquid; LTC@hyperliquid; ETH@hyperliquid; BTC@hyperliquid; BNB@hyperliquid
2026-06-23 06:00 UTC,1001.11,0.0259,0.0123,accrued 1.00d,NEAR@hyperliquid; LINK@hyperliquid; LTC@hyperliquid; ETH@hyperliquid; BTC@hyperliquid; BNB@hyperliquid
2026-06-24 06:00 UTC,1001.37,0.0131,0.0123,accrued 1.00d,NEAR@hyperliquid; LINK@hyperliquid; LTC@hyperliquid; ETH@hyperliquid; BTC@hyperliquid; BNB@hyperliquid
2026-06-25 06:00 UTC,1001.46,-0.0031,0.0123,accrued 1.00d,NEAR@hyperliquid; LINK@hyperliquid; LTC@hyperliquid; ETH@hyperliquid; BTC@hyperliquid; BNB@hyperliquid
2026-06-26 06:00 UTC,1001.61,0.0027,0.0123,accrued 1.00d,NEAR@hyperliquid; LINK@hyperliquid; LTC@hyperliquid; ETH@hyperliquid; BTC@hyperliquid; BNB@hyperliquid
